"iyear","imonth","count","sum_nkillciv","sum_nwoundciv"
1970,1,39,0,3
1970,2,55,0,8
1970,3,69,3,19
1970,4,79,1,16
1970,5,72,2,43
1970,6,61,6,27
1970,7,69,3,4
1970,8,42,3,2
1970,9,42,1,3
1970,10,55,0,4
1970,11,41,6,23
1970,12,26,0,1
1971,1,44,0,3
1971,2,43,1,0
1971,3,50,0,0
1971,4,57,6,1
1971,5,56,1,6
1971,6,24,0,0
1971,7,24,0,0
1971,8,47,1,0
1971,9,37,1,0
1971,10,27,0,0
1971,11,39,0,27
1971,12,23,0,0
1972,1,37,1,3
1972,2,29,0,1
1972,3,39,0,57
1972,4,22,0,1
1972,5,74,8,8
1972,6,34,0,0
1972,7,61,0,0
1972,8,49,0,10
1972,9,107,13,1
1972,10,36,3,5
1972,11,29,0,0
1972,12,50,2,1
1973,1,44,14,20
1973,2,37,0,1
1973,3,46,3,0
1973,4,44,0,0
1973,5,47,0,0
1973,6,27,0,0
1973,7,33,0,1
1973,8,37,0,0
1973,9,37,2,0
1973,10,36,4,2
1973,11,36,2,0
1973,12,48,37,2
1974,1,45,4,0
1974,2,40,0,0
1974,3,62,0,0
1974,4,47,21,3
1974,5,51,8,103
1974,6,52,15,0
1974,7,33,0,0
1974,8,31,3,36
1974,9,47,0,0
1974,10,53,0,1
1974,11,65,5,2
1974,12,53,1,2
1975,1,32,6,11
1975,2,68,0,0
1975,3,74,1,0
1975,4,57,25,0
1975,5,82,0,0
1975,6,49,2,0
1975,7,43,4,4
1975,8,67,1,0
1975,9,71,3,40
1975,10,96,14,14
1975,11,47,0,0
1975,12,53,10,0
1976,1,71,2,0
1976,2,72,3,2
1976,3,59,0,0
1976,4,78,0,0
1976,5,107,10,22
1976,6,85,6,5
1976,7,80,0,0
1976,8,72,0,0
1976,9,73,1,3
1976,10,83,0,0
1976,11,81,0,0
1976,12,60,0,1
1977,1,84,1,1
1977,2,68,0,0
1977,3,114,1,0
1977,4,63,5,0
1977,5,81,2,0
1977,6,145,0,0
1977,7,133,0,2
1977,8,136,0,0
1977,9,97,1,50
1977,10,165,3,19
1977,11,76,2,17
1977,12,152,100,0
1978,1,162,2,3
1978,2,149,19,1
1978,3,125,33,2
1978,4,112,0,0
1978,5,124,3,1
1978,6,99,7,22
1978,7,77,1,1
1978,8,101,2,1
1978,9,127,1,0
1978,10,128,0,4
1978,11,126,38,0
1978,12,194,2,9
1979,1,250,2,0
1979,2,233,1,3
1979,3,259,3,2
1979,4,212,6,17
1979,5,361,4,9
1979,6,250,3,0
1979,7,160,3,0
1979,8,210,1,0
1979,9,177,2,1
1979,10,222,4,13
1979,11,153,5,10
1979,12,172,1,7
1980,1,220,4,0
1980,2,181,0,0
1980,3,254,4,6
1980,4,298,3,5
1980,5,198,52,10
1980,6,273,4,2
1980,7,224,7,2
1980,8,182,87,189
1980,9,216,10,0
1980,10,240,2,1
1980,11,207,2,1
1980,12,168,0,0
1981,1,209,8,2
1981,2,214,2,2
1981,3,206,4,5
1981,4,208,7,1
1981,5,223,6,8
1981,6,175,10,14
1981,7,196,10,8
1981,8,265,1,1
1981,9,187,1,5
1981,10,234,5,127
1981,11,200,45,3
1981,12,269,19,5
1982,1,231,45,0
1982,2,180,0,0
1982,3,277,8,0
1982,4,251,0,0
1982,5,236,2,3
1982,6,164,16,0
1982,7,216,23,0
1982,8,224,23,15
1982,9,173,3,0
1982,10,251,6,1
1982,11,137,96,9
1982,12,203,2,70
1983,1,292,16,1
1983,2,198,2,7
1983,3,232,27,3
1983,4,221,6,2
1983,5,296,27,0
1983,6,251,20,8
1983,7,218,89,323
1983,8,225,59,11
1983,9,236,136,1
1983,10,259,20,2
1983,11,233,5,0
1983,12,209,0,0
1984,1,278,0,4
1984,2,286,223,2
1984,3,374,1,2
1984,4,370,4,27
1984,5,299,3,23
1984,6,249,80,0
1984,7,345,4,4
1984,8,331,0,2
1984,9,294,6,780
1984,10,233,7,0
1984,11,239,88,52
1984,12,197,69,3
1985,1,234,11,9
1985,2,184,0,2
1985,3,224,5,0
1985,4,156,10,17
1985,5,422,18,19
1985,6,296,26,0
1985,7,263,4,4
1985,8,266,16,33
1985,9,205,2,1
1985,10,217,46,0
1985,11,231,129,38
1985,12,217,33,165
1986,1,223,244,4
1986,2,201,7,12
1986,3,300,72,2
1986,4,249,9,20
1986,5,248,39,2
1986,6,344,22,22
1986,7,266,55,181
1986,8,236,16,6
1986,9,216,8,33
1986,10,199,4,14
1986,11,166,2,27
1986,12,211,42,5
1987,1,239,27,50
1987,2,269,4,3
1987,3,227,25,91
1987,4,306,5,27
1987,5,246,9,23
1987,6,295,75,83
1987,7,297,5,76
1987,8,289,25,11
1987,9,289,21,150
1987,10,250,4,0
1987,11,314,4,1
1987,12,162,14,8
1988,1,288,0,5
1988,2,323,10,75
1988,3,358,49,50
1988,4,276,23,12
1988,5,326,16,100
1988,6,335,9,37
1988,7,340,2,94
1988,8,260,20,87
1988,9,238,2,64
1988,10,326,30,19
1988,11,320,30,8
1988,12,330,26,33
1989,1,324,145,30
1989,2,378,20,13
1989,3,320,8,2
1989,4,342,5,8
1989,5,359,47,3
1989,6,272,14,9
1989,7,324,43,37
1989,8,366,2,11
1989,9,499,6,2
1989,10,472,9,0
1989,11,377,6,1
1989,12,291,21,15
1990,1,285,13,15
1990,2,240,1,0
1990,3,397,6,42
1990,4,339,14,21
1990,5,413,0,3
1990,6,394,9,70
1990,7,371,17,0
1990,8,340,129,75
1990,9,294,4,7
1990,10,323,25,2
1990,11,274,7,0
1990,12,217,0,2
1991,1,399,6,13
1991,2,336,1,0
1991,3,275,6,0
1991,4,327,16,11
1991,5,349,5,5
